圖名,pointName,等級,圖號,標石號碼,標石種類,LongitudeDeg,LongitudeMin,LongitudeSec,LatitudeDeg,LatitudeMin,LatitudeSec,高程_m,橫坐標_67坐標系統,縱坐標_67坐標系統
土場,李棟山,1,9622-2,,花崗石,121,17,43.5674 ,24,41,39.9753 ,1914.457 ,279890 ,2731970 
竹東,加里山,1,9622-3,,花崗石,121,0,15.2720 ,24,30,45.2233 ,2220.183 ,250420 ,2711790 
竹東,大分林山,1,9622-3,,花崗石,121,2,30.5381 ,24,40,55.9386 ,334.713 ,254230 ,2730580 
中壢,小竹坑山,1,9622-4,,花崗石,121,13,16.3728 ,24,48,42.3547 ,550.819 ,272360 ,2744950 
中壢,老窩山,1,9622-4,,花崗石,121,6,49.9288 ,24,52,55.0250 ,355.555 ,261500 ,2752710 
淡水,大古山,1,9623-2,內補0011,,121,16,59.8757 ,25,6,15.4148 ,151.148 ,278570 ,2777360 
大園,觀音,1,9623-3,,花崗石,121,4,4.3558 ,25,2,21.2481 ,24.197 ,256840 ,2770130 
花蓮,月眉山,1,9720-4,,花崗石,121,32,38.0333 ,23,49,38.2601 ,614.486 ,305410 ,2636010 
花蓮,米侖山,1,9720-4,,花崗石,121,36,22.3860 ,23,59,41.1546 ,109.973 ,311680 ,2654580 
新城,塔山,1,9721-3,,花崗石,121,32,34.5725 ,24,8,37.2723 ,2448.909 ,305170 ,2671050 
新城,清水山,1,9721-3,,花崗石,121,38,36.0324 ,24,14,13.6920 ,2408.031 ,315330 ,2681440 
和平,飯包山,1,9721-4,,花崗石,121,40,59.3864 ,24,23,33.8456 ,1856.955 ,319290 ,2698690 
頭城,三塊厝,1,9722-1,內補0029,花崗石,121,48,30.3005 ,24,46,10.5141 ,18.652 ,331750 ,2740500 
頭城,龜山島,1,9722-1,內補0028,花崗石,121,56,41.6494 ,24,50,36.1327 ,398.422 ,345500 ,2748760 
蘇澳,蘭坎山,1,9722-2,,花崗石,121,45,8.9444 ,24,32,21.8813 ,1476.540 ,326230 ,2714980 
蘇澳,東澳嶺,1,9722-2,,花崗石,121,50,30.0843 ,24,32,23.0078 ,820.675 ,335270 ,2715060 
蘇澳,宏國,1,9722-2,,花崗石,121,47,54.4282 ,24,41,14.5122 ,2.988 ,330800 ,2731390 
三星,三星山,1,9722-3,,花崗石,121,33,20.6928 ,24,30,39.6543 ,2351.888 ,306310 ,2711740 
三星,廣興,1,9722-3,,花崗石,121,44,42.0603 ,24,40,21.2643 ,16.305 ,325400 ,2729720 
宜蘭,烘爐地山,1,9722-4,,花崗石,121,41,17.4622 ,24,50,10.9486 ,1166.554 ,319550 ,2747830 
雙溪,燦光寮山,1,9723-2,,花崗石,121,51,26.5471 ,25,5,41.2760 ,738.287 ,336470 ,2776560 
台北市,大坪山,1,9723-3,,花崗石,121,37,38.2821 ,25,1,29.7494 ,389.068 ,313300 ,2768690 
台北市,七星山,1,9723-3,,花崗石,121,32,42.7481 ,25,10,20.9433 ,1119.723 ,304950 ,2785000 
蘭嶼,大森山,1,,,,121,34,39.8887 ,22,0,43.7205 ,482.735 ,309640 ,2435020 
蘭嶼,紅頭嶼,1,,,,121,31,35.6041 ,22,3,17.3820 ,551.623 ,304340 ,2439720 
綠島,火燒島,1,,,花崗石,121,28,31.4504 ,22,39,15.7958 ,280.306 ,298850 ,2506100 
