圖名,點名,等級,圖號,標石號碼,標石種類,經度-度,分,秒,緯度-度,分,秒,高程_m,橫坐標_67坐標系統,縱坐標_67坐標系統
臺西,溪子下,2,9420-III,內補078,花崗石,120,10,56.3972,23,30,3.1490,2.194,166480,2599990
臺西,牛尿港,2,9420-III,1128,花崗石,120,7,58.3190,23,33,43.9793,7.490,161470,2606810
臺西,飛沙,2,9420-III,內補084,花崗石,120,10,48.8018,23,39,2.5563,11.885,166360,2616590
麥寮,蚊港,2,9420-IV,1059,花崗石,120,13,8.0708,23,45,9.5081,18.104,170370,2627850
鹿港,福興,2,9421-II,內補009,銅標,120,25,20.8459,24,3,6.3035,21.179,191260,2660880
鹿港,馬鳴山,2,9421-II,1161,花崗石,120,29,42.9315,24,3,19.9676,9.837,198660,2661270
鹿港,泉州厝,2,9421-II,1153,花崗石,120,28,30.9354,24,9,15.3247,10.499,196670,2672210
鵝鑾鼻,埔頂,2,9516-I,1164,花崗石,120,50,27.2625,21,55,39.6521,119.189,233560,2425560
大武,佳菩安山,2,9517-I,1171,花崗石,120,46,11.9198,22,18,37.6513,1083.889,226300,2467950
大武,巴塱衛山,2,9517-I,1177,花崗石,120,52,15.0254,22,19,27.6444,325.486,236690,2469480
大武,茶茶牙頓山,2,9517-I,4248,花崗石,120,45,34.3857,22,20,56.2642,1325.949,225230,2472220
大武,出水坡,2,9517-I,內補079,花崗石,120,49,1.6254,22,22,43.2796,655.191,231160,2475500
大武,姑子崙山,2,9517-I,4255,花崗石,120,46,51.9540,22,25,12.2185,1630.684,227460,2480090
大武,杜鴉原山,2,9517-I,1195,花崗石,120,50,31.1045,22,28,51.8426,1236.950,233730,2486830
大武,太里力山,2,9517-I,1561,花崗石,120,47,12.0330,22,29,45.4259,1929.204,228050,2488490
滿州,猪老東山,2,9517-II,1172,花崗石,120,50,53.4331,22,0,46.1353,410.451,234320,2434990
滿州,老佛山,2,9517-II,1176,花崗石,120,47,2.4870,22,2,26.8125,674.264,227700,2438090
滿州,高士佛山,2,9517-II,857,花崗石,120,48,22.0379,22,8,5.3028,514.478,230000,2448500
滿州,太和山,2,9517-II,938,花崗石,120,51,2.4704,22,14,27.3596,487.445,234600,2460240
恒春,太平頂,2,9517-III,1163,花崗石,120,41,25.1880,22,0,42.3467,190.047,218020,2434900
枋寮,竹坑山,2,9517-IV,1175,花崗石,120,40,45.6468,22,15,3.0029,519.006,216950,2461370
枋寮,坪埔厝山,2,9517-IV,188,花崗石,120,38,30.4531,22,20,15.0817,532.327,213100,2470980
枋寮,保和以山,2,9517-IV,1106,花崗石,120,38,27.0762,22,27,16.5799,684.703,213030,2483940
枋寮,久保山,2,9517-IV,,花崗石,120,40,47.2548,22,29,37.7472,1506.410,217050,2488270
美奈田主山,大浦山,2,9518-I,1657,花崗石,120,53,56.2978,22,46,37.5213,2377.657,239620,2519610
美奈田主山,盆盆山,2,9518-I,1658,花崗石,120,58,57.6944,22,50,8.3082,1864.572,248220,2526090
美奈田主山,遙拜山,2,9518-I,1662,花崗石,120,50,46.5712,22,51,57.7996,2415.009,234220,2529460
美奈田主山,平野山,2,9518-I,1660,花崗石,120,53,34.9347,22,53,22.2032,2215.618,239020,2532060
美奈田主山,屯子山,2,9518-I,1656,花崗石,120,45,10.1671,22,54,44.5852,1822.605,224640,2534610
美奈田主山,出雲山,2,9518-I,1565,花崗石,120,49,15.8939,22,58,38.1785,2772.335,231650,2541780
太麻里,大武來山,2,9518-II,1194,花崗石,120,56,51.1809,22,34,17.8308,924.070,244600,2496850
太麻里,唐太蘭山,2,9518-II,1562,花崗石,120,52,34.1364,22,37,27.9355,1452.828,237260,2502700
太麻里,霧頭山,2,9518-II,1559,花崗石,120,46,43.0564,22,41,41.3768,2735.593,227250,2510510
太麻里,知本主山,2,9518-II,1560,花崗石,120,52,20.7808,22,43,38.8940,2229.955,236890,2514110
內埔,北勢廍,2,9518-III,838,花崗石,120,32,46.3049,22,33,36.1863,16.511,203320,2495640
內埔,南太武山,2,9518-III,1557,花崗石,120,44,25.7390,22,34,27.3598,2840.682,223310,2497170
內埔,萬金山,2,9518-III,337,花崗石,120,37,17.6999,22,36,33.5167,241.776,211090,2501070
內埔,真笠山,2,9518-III,1558,花崗石,120,39,31.6725,22,40,17.5784,1166.151,214930,2507960
內埔,竹葉,2,9518-III,942,花崗石,120,32,55.5399,22,42,3.8730,55.487,203640,2511260
美濃,德文山,2,9518-IV,1655,花崗石,120,41,2.2616,22,45,56.4361,1245.684,217540,2518370
美濃,武路,2,9518-IV,1104,花崗石,120,30,12.1262,22,46,50.4044,39.953,199000,2520090
美濃,加蚋埔,2,9518-IV,544,花崗石,120,37,30.8891,22,47,4.5222,185.357,211520,2520480
美濃,大母母山,2,9518-IV,1654,花崗石,120,44,26.1273,22,49,39.6974,2423.929,223370,2525230
美濃,尾寮山,2,9518-IV,1653,花崗石,120,40,5.4602,22,51,31.8136,1427.393,215940,2528690
美濃,龍肚,2,9518-IV,1100,花崗石,120,34,6.8007,22,51,43.0577,199.302,205720,2529070
美濃,紅禾林,2,9518-IV,517,花崗石,120,37,9.1729,22,54,28.9169,272.688,210930,2534150
美濃,月光山,2,9518-IV,487,花崗石,120,32,12.4731,22,56,11.8447,649.756,202490,2537340
美濃,大貢占,2,9518-IV,1097,花崗石,120,36,53.4582,22,58,46.6258,823.158,210510,2542080
美濃,御油山,2,9518-IV,7141,花崗石,120,41,57.7545,22,58,57.5940,1476.023,219170,2542400
玉山,烏夫冬山,2,9519-I,1667,花崗石,120,49,47.4504,23,15,1.6502,1823.308,232580,2572030
玉山,關山嶺,2,9519-I,1683,花崗石,120,57,4.8738,23,16,21.9679,3175.600,245020,2574490
玉山,南面山,2,9519-I,1682,花崗石,120,51,56.7154,23,20,28.4081,2827.566,236270,2582080
玉山,雲峰,2,9519-I,1684,花崗石,120,58,3.5381,23,21,19.8946,3563.757,246690,2583660
玉山,霞山,2,9519-I,1688,花崗石,120,48,47.8432,23,25,18.0636,2400.166,230910,2591000
玉山,南玉山,2,9519-I,1685,花崗石,120,55,0.4694,23,25,51.7706,3382.801,241490,2592020
卑南主山,相原山,2,9519-II,1661,花崗石,120,56,10.5036,23,0,39.0193,2774.056,243460,2545490
卑南主山,白松山,2,9519-II,7231,花崗石,120,58,12.0264,23,2,22.4124,2633.455,246920,2548670
卑南主山,屯古嶺,2,9519-II,1675,花崗石,120,56,33.9253,23,8,51.7042,2789.526,244130,2560640
卑南主山,小關山,2,9519-II,1668,花崗石,120,52,4.8846,23,9,12.3215,3248.737,236480,2561280
卑南主山,關山,2,9519-II,1674,花崗石,120,54,13.0188,23,13,47.4834,3668.036,240130,2569740
甲仙,刣牛湖山,2,9519-III,內補051,花崗石,120,30,53.9509,23,3,0.9779,799.097,200290,2549940
甲仙,藤枝,2,9519-III,1664,花崗石,120,43,49.4558,23,3,49.7734,1564.697,222370,2551380
甲仙,糖子恩山,2,9519-III,449,花崗石,120,31,0.2167,23,6,50.7986,641.900,200490,2557000
甲仙,番子寮山,2,9519-III,內補045,觀音石,120,38,53.1083,23,6,54.1911,1207.524,213950,2557070
甲仙,美壠山,2,9519-III,1665,花崗石,120,44,21.3038,23,7,16.5009,1384.782,223290,2557740
甲仙,河表湖山,2,9519-III,1191,花崗石,120,39,47.6195,23,14,19.2721,1185.389,215530,2570760
甲仙,三角南山,2,9519-III,1087,花崗石,120,35,3.7103,23,14,32.5407,1187.197,207460,2571190
甲仙,竹子尖山,2,9519-III,1090,花崗石,120,33,26.7118,23,10,39.4876,1109.649,204680,2564030
甲仙,我丹,2,9519-III,1666,花崗石,120,43,56.0728,23,12,12.9878,2044.017,222590,2566860
中埔,玉打山,2,9519-IV,7553,花崗石,120,41,29.6748,23,16,42.7359,1271.296,218440,2575160
中埔,卓武山,2,9519-IV,1686,花崗石,120,42,4.7042,23,18,32.5915,1602.137,219450,2578540
中埔,草山,2,9519-IV,1689,花崗石,120,39,2.9736,23,20,29.8238,1104.005,214290,2582160
中埔,馬頭山,2,9519-IV,1188,花崗石,120,35,21.9759,23,20,52.8168,1127.273,208020,2582880
中埔,柑子湖山,2,9519-IV,290,花崗石,120,33,30.4192,23,24,48.7222,459.886,204870,2590150
中埔,頂笨子山,2,9519-IV,1187,花崗石,120,42,27.9557,23,25,2.2965,1679.560,220130,2590530
中埔,隙頂山,2,9519-IV,1690,花崗石,120,38,59.3039,23,26,19.5348,1471.369,214210,2592920
埔里,人倫,2,9520-I,1139,花崗石,120,52,19.2099,23,45,20.6592,1195.785,236950,2627980
埔里,白石,2,9520-I,1112,花崗石,120,48,24.0756,23,46,28.4898,1171.974,230290,2630080
埔里,水社山,2,9520-I,1134,花崗石,120,57,34.3819,23,50,38.2964,2058.947,245870,2637750
埔里,集集大山,2,9520-I,1135,花崗石,120,49,47.9874,23,51,24.2273,1391.665,232680,2639170
埔里,東勢閣,2,9520-I,1127,花崗石,120,45,26.1738,23,53,42.7947,259.410,225280,2643440
埔里,白葉山,2,9520-I,內補054,花崗石,120,56,25.1191,23,55,59.3464,853.239,243920,2647630
埔里,牛相山,2,9520-I,內補053,花崗石,120,55,16.4849,23,58,2.0054,591.215,241980,2651400
埔里,雙冬山,2,9520-I,1130,花崗石,120,47,4.1116,23,58,23.1725,574.220,228060,2652070
阿里山,塔山,2,9520-II,1190,花崗石,120,46,23.4053,23,31,51.4874,2484.052,226830,2603100
阿里山,獅子頭山,2,9520-II,1113,花崗石,120,45,16.7111,23,37,1.3282,2103.878,224960,2612640
斗六,大坑山,2,9520-III,468,花崗石,120,36,9.1645,23,30,3.2054,1025.786,209400,2599810
斗六,光崙山,2,9520-III,1193,花崗石,120,40,45.9335,23,30,35.7009,1815.072,217260,2600790
斗六,沙坑,2,9520-III,內補076,花崗石,120,32,46.6672,23,32,43.6982,235.649,203670,2604760
斗六,嵌頭厝,2,9520-III,內補085,花崗石,120,34,32.6163,23,38,6.6530,299.023,206710,2614690
斗六,木瓜潭山,2,9520-3,225,花崗石,120,38,10.1654,23,40,12.6765,518.631,212880,2618550
斗六,咬狗,2,9520-3,1035,花崗石,120,36,6.0068,23,43,27.8065,221.708,209380,2624560
斗六,笋子林山,2,9520-3,1133,花崗石,120,42,36.6283,23,44,12.1594,727.189,220450,2625900
南投,樹子腳,2,9520-4,內補073,花崗石,120,31,15.0776,23,47,2.2897,46.928,201160,2631190
南投,松柏坑,2,9520-4,1067,花崗石,120,38,2.0894,23,49,18.4176,430.854,212700,2635340
南投,濁水山,2,9520-4,179,花崗石,120,42,27.9278,23,50,43.1143,408.776,220230,2637930
南投,北斗,2,9520-4,內補072,花崗石,120,31,10.5935,23,52,27.6049,54.921,201070,2641190
南投,橫山,2,9520-4,1114,花崗石,120,37,24.3490,23,53,27.4667,442.805,211650,2643000
南投,大埔心,2,9520-4,1121,花崗石,120,32,22.6010,23,57,17.5981,26.652,203140,2650110
南投,大虎山,2,9520-4,82,花崗石,120,41,33.1032,23,58,5.9120,325.381,218700,2651550
東勢,尾文坑,2,9521-1,1138,花崗石,120,53,5.6226,24,17,0.5346,727.468,238310,2686430
東勢,石圍牆山,2,9521-1,1115,花崗石,120,45,32.8617,24,18,2.2013,560.142,225550,2688340
東勢,壢灑坪,2,9521-1,內補014,觀音石,120,49,33.1819,24,19,34.4636,523.430,232330,2691170
東勢,關刀山,2,9521-1,125,花崗石,120,48,9.4840,24,22,37.6631,888.542,229970,2696810
東勢,耀婆山,2,9521-1,1123,花崗石,120,54,1.0331,24,26,11.9433,901.238,239880,2703390
東勢,龍船子,2,9521-1,107,花崗石,120,50,10.0095,24,26,46.0952,654.761,233380,2704450
