圖名,點名,等級,圖號,標石號碼,標石種類,經度-度,分,秒,緯度-度,分,秒,高程_m,橫坐標_67坐標系統,縱坐標_67坐標系統
澎湖,七美,3,,內補332,觀音石,119,25,49.7738,23,12,22.6886,64.123,294060,2567200
澎湖,尖礁山,3,,915,花崗石,119,39,40.8751,23,15,47.4743,46.633,317660,2573590
澎湖,東嶼坪,3,,內補337,觀音石,119,30,38.9972,23,15,55.0046,60.741,302260,2573750
澎湖,大礁山,3,,陸補29,水泥柱,119,31,49.6329,23,22,21.4085,29.689,304220,2585650
澎湖,西胴尾,3,,864,花崗石,119,29,49.8078,23,22,45.8520,48.525,300820,2586390
澎湖,燕墩山,3,,906,花崗石,119,19,0.7462,23,24,24.6538,53.273,282380,2589380
澎湖,西山,3,,陸補27,水泥柱,119,30,19.1286,23,29,13.4960,56.122,301610,2598320
澎湖,北西山,3,,內補308,觀音石,119,30,8.2466,23,29,32.2953,57.085,301300,2598890
澎湖,井仔垵山,3,,內補242,觀音石,119,33,53.2065,23,30,41.4193,35.230,511980,2603270
澎湖,桶盤,3,,內補303,觀音石,119,30,28.6299,23,30,41.7211,24.738,506170,2603180
澎湖,豬母水山,3,,888,花崗石,119,34,42.8266,23,30,46.9997,26.647,513380,2603470
澎湖,鎖管,3,,內補305,觀音石,119,35,30.9450,23,30,54.9399,14.557,514740,2603740
澎湖,豬母水,3,,內補295,觀音石,119,34,39.7674,23,31,29.7043,29.735,513270,2604780
澎湖,鷄母塢山,3,,內補302,觀音石,119,34,34.0521,23,31,50.0661,38.713,513100,2605400
澎湖,鐵線尾,3,,內補300,觀音石,119,35,59.1122,23,32,39.9608,19.961,515480,2606980
澎湖,富貴尾,3,,陸補39,水泥柱,119,32,32.6591,23,32,55.4710,22.224,,
澎湖,烏嵌砲台,3,,內補306,觀音石,119,37,28.7429,23,32,57.4723,18.896,313770,2605250
澎湖,楓櫃尾,3,,陸補40,水泥柱,119,32,25.7561,23,33,18.8809,19.900,509410,2608070
澎湖,烏嵌,3,,內補309,觀音石,119,37,21.4605,23,33,26.8063,31.214,313560,2606160
澎湖,前寮,3,,陸補33,水泥柱,119,34,44.5553,23,33,28.4399,23.096,513340,2608440
澎湖,測天島,3,,內補335,觀音石,119,33,18.7520,23,33,32.3989,14.614,510900,2608520
澎湖,大城北,3,,內補307,觀音石,119,36,37.7472,23,33,38.3793,52.646,312320,2606510
澎湖,西埔,3,,內補331,觀音石,119,27,53.2332,23,33,46.3778,58.017,297440,2606700
澎湖,拱北,3,,內補334,觀音石,119,36,5.6606,23,33,51.5151,51.636,311410,2606910
澎湖,隘門,3,,內補297,觀音石,119,37,56.3373,23,33,58.0824,39.868,314540,2607120
澎湖,龜山,3,,陸補41,水泥柱,119,30,21.9260,23,34,0.7506,55.750,301660,2607150
澎湖,外垵山,3,,陸補42,水泥柱,119,28,7.8387,23,34,6.6110,57.793,297850,2607320
澎湖,馬公,3,,內補245,銅標,119,33,29.4982,23,34,9.9445,25.911,511190,2609680
澎湖,良文,3,,內補301,觀音石,119,40,11.4599,23,34,16.0670,21.304,318370,2607690
澎湖,尖山,3,,內補299,觀音石,119,39,35.0849,23,34,25.7472,40.113,317340,2607990
澎湖,太武山,3,,內補243,銅標,119,37,54.1225,23,34,37.2041,48.849,314470,2608320
澎湖,內垵,3,,陸補43,水泥柱,119,29,47.0908,23,34,45.1502,52.118,300660,2608510
澎湖,港仔尾,3,,內補296,觀音石,119,36,22.3740,23,34,59.9416,32.239,311870,2609010
澎湖,南寮,3,,陸補15,水泥柱,119,40,16.5864,23,35,4.9195,23.556,318510,2609200
澎湖,湖西,3,,陸補09,水泥柱,119,38,46.0349,23,35,5.2195,22.055,315940,2609190
澎湖,大石鼻,3,,內補336,觀音石,119,34,26.4781,23,35,13.3875,9.993,304440,2610020
澎湖,鼎灣,3,,內補333,觀音石,119,36,16.1087,23,35,26.7832,25.021,311690,2609840
澎湖,小池角,3,,陸補47,水泥柱,119,29,43.2302,23,35,48.9009,30.886,300550,2610480
澎湖,二嵌,3,,陸補46,水泥柱,119,30,47.3238,23,36,18.9998,31.430,302360,2611410
澎湖,青螺,3,,855,花崗石,119,38,33.5105,23,36,19.1149,22.346,315580,2611460
澎湖,大池角,3,,4135,花崗石,119,30,25.4515,23,37,10.1211,33.100,301740,2612980
澎湖,中屯,3,,陸補20,水泥柱,119,35,48.4081,23,37,10.1376,17.374,310890,2613010
澎湖,大倉,3,,862,花崗石,119,33,36.4592,23,37,22.8182,20.277,307150,2613390
澎湖,港尾,3,,陸補22,水泥注,119,35,29.1081,23,37,44.1255,19.314,310340,2614060
澎湖,竹篙灣,3,,880,花崗石,119,30,29.7895,23,38,5.5077,34.638,301850,2614680
澎湖,浦頂山,3,,913,花崗石,119,36,0.5785,23,38,7.9768,25.370,311230,2614790
澎湖,橫礁,3,,陸補45,水泥柱,119,31,23.6081,23,38,9.5530,31.804,303380,2614810
澎湖,34.5高地,3,,內補294,觀音石,119,30,28.0064,23,38,52.9813,31.165,301800,2616140
澎湖,員貝,3,,內補339,觀音石,119,37,32.1159,23,39,7.9722,33.921,313810,2616650
澎湖,岐頭,3,,陸補26,水泥柱,119,36,7.8051,23,39,15.8161,16.613,311420,2616880
澎湖,瓦胴,3,,907,花崗石,119,35,3.1918,23,39,39.6700,30.959,309590,2617610
澎湖,鳥嶼,3,,陸補52,水泥柱,119,39,28.2417,23,39,49.4586,27.164,317100,2617940
澎湖,占山,3,,內補338,觀音石,119,33,42.1392,23,39,58.1537,18.234,307290,2618170
澎湖,大崎山,3,,4141,花崗石,119,32,48.8041,23,39,59.8790,30.920,305780,2618220
澎湖,大崎山,3,,939,花崗石,119,32,53.4881,23,40,9.8185,28.211,305910,2618520
澎湖,後寮,3,,陸補25,水泥柱,119,34,11.5729,23,40,22.4690,28.851,308120,2618920
